neuronsPerLayer,hiddenLayers,gen,score,count
1,1,70,47.0,1
1,1,70,48.0,1
1,1,70,49.0,1
1,1,70,50.0,3
1,1,70,53.0,4
1,1,70,54.0,1
1,1,70,55.0,3
1,1,70,56.0,2
1,1,70,57.0,1
1,1,70,66.0,1
1,1,70,70.0,1
1,1,71,38.0,1
1,1,71,42.0,3
1,1,71,44.0,1
1,1,71,46.0,3
1,1,71,47.0,3
1,1,71,49.0,1
1,1,71,50.0,1
1,1,71,52.0,2
1,1,71,53.0,2
1,1,71,54.0,1
1,1,71,56.0,3
1,1,71,59.0,1
1,1,71,60.0,1
1,1,71,64.0,2
1,1,72,38.0,1
1,1,72,39.0,1
1,1,72,40.0,2
1,1,72,42.0,1
1,1,72,43.0,2
1,1,72,44.0,1
1,1,72,45.0,1
1,1,72,47.0,2
1,1,72,48.0,3
1,1,72,49.0,4
1,1,72,50.0,2
1,1,72,55.0,1
1,1,72,56.0,1
1,1,72,58.0,1
1,1,72,59.0,1
1,1,72,67.0,1
1,1,73,37.0,1
1,1,73,40.0,1
1,1,73,43.0,1
1,1,73,44.0,3
1,1,73,45.0,1
1,1,73,46.0,3
1,1,73,47.0,2
1,1,73,48.0,1
1,1,73,49.0,1
1,1,73,50.0,1
1,1,73,51.0,2
1,1,73,55.0,1
1,1,73,57.0,4
1,1,73,58.0,2
1,1,73,60.0,1
1,1,74,36.0,2
